Index;Route_Instance;Supernet;Subnet;ASN;Destination_Interface;Router
0;inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
1;inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
2;inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
3;inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr2.mgmt.vncv1
4;inet.0;128.189.0.0/16;128.189.16.0/20;393249;et-5/0/2.184;No;cr2.mgmt.vncv1
5;inet.0;128.189.0.0/16;128.189.64.0/19;393249;et-5/0/2.184;No;cr2.mgmt.vncv1
6;inet.0;128.189.0.0/16;128.189.96.0/19;393249;et-5/0/2.184;No;cr2.mgmt.vncv1
7;inet.0;128.189.0.0/16;128.189.128.0/18;393249;et-5/0/2.184;No;cr2.mgmt.vncv1
8;inet.0;128.189.0.0/16;128.189.192.0/18;393249;et-5/0/2.184;No;cr2.mgmt.vncv1
9;inet.2;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
10;inet.2;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
11;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.0.0/16;271;Adjacent Router;No;cr2.mgmt.vncv1
12;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
13;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
14;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
15;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr2.mgmt.vncv1
16;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.16.0/20;393249;et-5/0/2.199;No;cr2.mgmt.vncv1
17;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.16.0/20;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
18;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.64.0/19;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
19;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.64.0/19;271;et-5/0/2.199;No;cr2.mgmt.vncv1
20;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.64.0/19;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
21;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.96.0/19;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
22;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.96.0/19;271;et-5/0/2.199;No;cr2.mgmt.vncv1
23;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.96.0/19;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
24;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.128.0/18;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
25;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.128.0/18;271;et-5/0/2.199;No;cr2.mgmt.vncv1
26;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.128.0/18;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
27;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.192.0/18;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
28;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.192.0/18;271;et-5/0/2.199;No;cr2.mgmt.vncv1
29;TRANSIT-VANTX2.inet.0;128.189.0.0/16;128.189.192.0/18;393249;et-5/0/2.188;No;cr2.mgmt.vncv1
30;inet.0;134.87.0.0/16;134.87.2.16/31;271;Adjacent Router;No;cr2.mgmt.vncv1
31;inet.0;134.87.0.0/16;134.87.2.20/30;271;Adjacent Router;No;cr2.mgmt.vncv1
32;inet.0;134.87.0.0/16;134.87.2.26/31;271;Adjacent Router;No;cr2.mgmt.vncv1
33;inet.0;134.87.0.0/16;134.87.2.28/30;271;Adjacent Router;No;cr2.mgmt.vncv1
34;inet.0;134.87.0.0/16;134.87.2.48/29;271;et-5/0/2.184;No;cr2.mgmt.vncv1
35;inet.0;134.87.0.0/16;134.87.2.54/32;271;et-5/0/2.184;Yes;cr2.mgmt.vncv1
36;inet.0;134.87.0.0/16;134.87.2.56/31;271;Adjacent Router;No;cr2.mgmt.vncv1
37;inet.0;134.87.0.0/16;134.87.2.58/31;271;Adjacent Router;No;cr2.mgmt.vncv1
38;inet.0;134.87.0.0/16;134.87.2.60/31;271;Adjacent Router;No;cr2.mgmt.vncv1
39;inet.0;134.87.0.0/16;134.87.2.62/31;271;Adjacent Router;No;cr2.mgmt.vncv1
40;inet.0;134.87.0.0/16;134.87.2.64/31;271;Adjacent Router;No;cr2.mgmt.vncv1
41;inet.0;134.87.0.0/16;134.87.2.68/30;271;Adjacent Router;No;cr2.mgmt.vncv1
42;inet.0;134.87.0.0/16;134.87.2.72/30;271;Adjacent Router;No;cr2.mgmt.vncv1
43;inet.0;134.87.0.0/16;134.87.2.76/30;271;xe-3/0/0.159;No;cr2.mgmt.vncv1
44;inet.0;134.87.0.0/16;134.87.2.78/32;271;xe-3/0/0.159;Yes;cr2.mgmt.vncv1
45;inet.0;134.87.0.0/16;134.87.2.80/30;271;Adjacent Router;No;cr2.mgmt.vncv1
46;inet.0;134.87.0.0/16;134.87.2.84/30;271;ge-0/0/6.75;No;cr2.mgmt.vncv1
47;inet.0;134.87.0.0/16;134.87.2.86/32;271;ge-0/0/6.75;Yes;cr2.mgmt.vncv1
48;inet.0;134.87.0.0/16;134.87.2.128/29;271;rlt0.41;No;cr2.mgmt.vncv1
49;inet.0;134.87.0.0/16;134.87.2.136/30;271;rlt0.41;No;cr2.mgmt.vncv1
50;inet.0;134.87.0.0/16;134.87.2.140/30;271;rlt0.41;No;cr2.mgmt.vncv1
51;inet.0;134.87.0.0/16;134.87.2.160/29;271;Adjacent Router;No;cr2.mgmt.vncv1
52;inet.0;134.87.0.0/16;134.87.2.168/31;271;Adjacent Router;No;cr2.mgmt.vncv1
53;inet.0;134.87.0.0/16;134.87.2.170/31;271;Adjacent Router;No;cr2.mgmt.vncv1
54;inet.0;134.87.0.0/16;134.87.2.172/30;271;rlt0.41;No;cr2.mgmt.vncv1
55;inet.0;134.87.0.0/16;134.87.2.188/30;271;Adjacent Router;No;cr2.mgmt.vncv1
56;inet.0;134.87.0.0/16;134.87.2.196/31;271;rlt0.44;No;cr2.mgmt.vncv1
57;inet.0;134.87.0.0/16;134.87.2.196/32;271;rlt0.44;Yes;cr2.mgmt.vncv1
58;inet.0;134.87.0.0/16;134.87.2.198/31;271;xe-2/0/4.897;No;cr2.mgmt.vncv1
59;inet.0;134.87.0.0/16;134.87.2.198/32;271;xe-2/0/4.897;Yes;cr2.mgmt.vncv1
60;inet.0;134.87.0.0/16;134.87.2.202/31;271;xe-2/0/5.963;No;cr2.mgmt.vncv1
61;inet.0;134.87.0.0/16;134.87.2.202/32;271;xe-2/0/5.963;Yes;cr2.mgmt.vncv1
62;inet.0;134.87.0.0/16;134.87.2.228/31;271;rlt0.53;No;cr2.mgmt.vncv1
63;inet.0;134.87.0.0/16;134.87.2.228/32;271;rlt0.53;Yes;cr2.mgmt.vncv1
64;inet.0;134.87.0.0/16;134.87.2.230/31;271;rlt0.55;No;cr2.mgmt.vncv1
65;inet.0;134.87.0.0/16;134.87.2.230/32;271;rlt0.55;Yes;cr2.mgmt.vncv1
66;inet.0;134.87.0.0/16;134.87.2.236/30;271;Adjacent Router;No;cr2.mgmt.vncv1
67;inet.0;134.87.0.0/16;134.87.2.240/30;271;rlt0.43;No;cr2.mgmt.vncv1
68;inet.0;134.87.0.0/16;134.87.2.242/32;271;rlt0.43;Yes;cr2.mgmt.vncv1
69;inet.0;134.87.0.0/16;134.87.2.244/31;271;Adjacent Router;No;cr2.mgmt.vncv1
70;inet.0;134.87.0.0/16;134.87.2.246/31;271;rlt0.63;No;cr2.mgmt.vncv1
71;inet.0;134.87.0.0/16;134.87.2.246/32;271;rlt0.63;Yes;cr2.mgmt.vncv1
72;inet.0;134.87.0.0/16;134.87.2.248/31;271;xe-2/0/7.169;No;cr2.mgmt.vncv1
73;inet.0;134.87.0.0/16;134.87.2.248/32;271;xe-2/0/7.169;Yes;cr2.mgmt.vncv1
74;inet.0;134.87.0.0/16;134.87.2.250/31;271;Adjacent Router;No;cr2.mgmt.vncv1
75;inet.0;134.87.0.0/16;134.87.4.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
76;inet.0;134.87.0.0/16;134.87.32.0/19;16462;Adjacent Router;No;cr2.mgmt.vncv1
77;inet.0;134.87.0.0/16;134.87.32.0/19;;Adjacent Router;No;cr2.mgmt.vncv1
78;inet.0;134.87.0.0/16;134.87.112.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
79;inet.0;134.87.0.0/16;134.87.112.0/24;271;rlt0.41;No;cr2.mgmt.vncv1
80;inet.0;134.87.0.0/16;134.87.128.0/18;16462;Adjacent Router;No;cr2.mgmt.vncv1
81;inet.0;134.87.0.0/16;134.87.128.0/18;;Adjacent Router;No;cr2.mgmt.vncv1
82;inet.2;134.87.0.0/16;134.87.2.16/31;271;Adjacent Router;No;cr2.mgmt.vncv1
83;inet.2;134.87.0.0/16;134.87.2.20/30;271;Adjacent Router;No;cr2.mgmt.vncv1
84;inet.2;134.87.0.0/16;134.87.2.26/31;271;Adjacent Router;No;cr2.mgmt.vncv1
85;inet.2;134.87.0.0/16;134.87.2.28/30;271;Adjacent Router;No;cr2.mgmt.vncv1
86;inet.2;134.87.0.0/16;134.87.2.48/29;271;et-5/0/2.184;No;cr2.mgmt.vncv1
87;inet.2;134.87.0.0/16;134.87.2.54/32;271;et-5/0/2.184;Yes;cr2.mgmt.vncv1
88;inet.2;134.87.0.0/16;134.87.2.56/31;271;Adjacent Router;No;cr2.mgmt.vncv1
89;inet.2;134.87.0.0/16;134.87.2.58/31;271;Adjacent Router;No;cr2.mgmt.vncv1
90;inet.2;134.87.0.0/16;134.87.2.60/31;271;Adjacent Router;No;cr2.mgmt.vncv1
91;inet.2;134.87.0.0/16;134.87.2.62/31;271;Adjacent Router;No;cr2.mgmt.vncv1
92;inet.2;134.87.0.0/16;134.87.2.64/31;271;Adjacent Router;No;cr2.mgmt.vncv1
93;inet.2;134.87.0.0/16;134.87.2.68/30;271;Adjacent Router;No;cr2.mgmt.vncv1
94;inet.2;134.87.0.0/16;134.87.2.72/30;271;Adjacent Router;No;cr2.mgmt.vncv1
95;inet.2;134.87.0.0/16;134.87.2.76/30;271;xe-3/0/0.159;No;cr2.mgmt.vncv1
96;inet.2;134.87.0.0/16;134.87.2.78/32;271;xe-3/0/0.159;Yes;cr2.mgmt.vncv1
97;inet.2;134.87.0.0/16;134.87.2.80/30;271;Adjacent Router;No;cr2.mgmt.vncv1
98;inet.2;134.87.0.0/16;134.87.2.84/30;271;ge-0/0/6.75;No;cr2.mgmt.vncv1
99;inet.2;134.87.0.0/16;134.87.2.86/32;271;ge-0/0/6.75;Yes;cr2.mgmt.vncv1
100;inet.2;134.87.0.0/16;134.87.2.128/29;271;rlt0.41;No;cr2.mgmt.vncv1
101;inet.2;134.87.0.0/16;134.87.2.136/30;271;rlt0.41;No;cr2.mgmt.vncv1
102;inet.2;134.87.0.0/16;134.87.2.140/30;271;rlt0.41;No;cr2.mgmt.vncv1
103;inet.2;134.87.0.0/16;134.87.2.160/29;271;Adjacent Router;No;cr2.mgmt.vncv1
104;inet.2;134.87.0.0/16;134.87.2.168/31;271;Adjacent Router;No;cr2.mgmt.vncv1
105;inet.2;134.87.0.0/16;134.87.2.170/31;271;Adjacent Router;No;cr2.mgmt.vncv1
106;inet.2;134.87.0.0/16;134.87.2.172/30;271;rlt0.41;No;cr2.mgmt.vncv1
107;inet.2;134.87.0.0/16;134.87.2.188/30;271;Adjacent Router;No;cr2.mgmt.vncv1
108;inet.2;134.87.0.0/16;134.87.2.196/31;271;rlt0.44;No;cr2.mgmt.vncv1
109;inet.2;134.87.0.0/16;134.87.2.196/32;271;rlt0.44;Yes;cr2.mgmt.vncv1
110;inet.2;134.87.0.0/16;134.87.2.198/31;271;xe-2/0/4.897;No;cr2.mgmt.vncv1
111;inet.2;134.87.0.0/16;134.87.2.198/32;271;xe-2/0/4.897;Yes;cr2.mgmt.vncv1
112;inet.2;134.87.0.0/16;134.87.2.202/31;271;xe-2/0/5.963;No;cr2.mgmt.vncv1
113;inet.2;134.87.0.0/16;134.87.2.202/32;271;xe-2/0/5.963;Yes;cr2.mgmt.vncv1
114;inet.2;134.87.0.0/16;134.87.2.228/31;271;rlt0.53;No;cr2.mgmt.vncv1
115;inet.2;134.87.0.0/16;134.87.2.228/32;271;rlt0.53;Yes;cr2.mgmt.vncv1
116;inet.2;134.87.0.0/16;134.87.2.230/31;271;rlt0.55;No;cr2.mgmt.vncv1
117;inet.2;134.87.0.0/16;134.87.2.230/32;271;rlt0.55;Yes;cr2.mgmt.vncv1
118;inet.2;134.87.0.0/16;134.87.2.236/30;271;Adjacent Router;No;cr2.mgmt.vncv1
119;inet.2;134.87.0.0/16;134.87.2.240/30;271;rlt0.43;No;cr2.mgmt.vncv1
120;inet.2;134.87.0.0/16;134.87.2.242/32;271;rlt0.43;Yes;cr2.mgmt.vncv1
121;inet.2;134.87.0.0/16;134.87.2.244/31;271;Adjacent Router;No;cr2.mgmt.vncv1
122;inet.2;134.87.0.0/16;134.87.2.246/31;271;rlt0.63;No;cr2.mgmt.vncv1
123;inet.2;134.87.0.0/16;134.87.2.246/32;271;rlt0.63;Yes;cr2.mgmt.vncv1
124;inet.2;134.87.0.0/16;134.87.2.248/31;271;xe-2/0/7.169;No;cr2.mgmt.vncv1
125;inet.2;134.87.0.0/16;134.87.2.248/32;271;xe-2/0/7.169;Yes;cr2.mgmt.vncv1
126;inet.2;134.87.0.0/16;134.87.2.250/31;271;Adjacent Router;No;cr2.mgmt.vncv1
127;inet.2;134.87.0.0/16;134.87.4.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
128;inet.2;134.87.0.0/16;134.87.112.0/24;271;Adjacent Router;No;cr2.mgmt.vncv1
129;inet.2;134.87.0.0/16;134.87.112.0/24;271;rlt0.41;No;cr2.mgmt.vncv1
130;TRANSIT-VANTX2.inet.0;134.87.0.0/16;134.87.0.0/16;271;Adjacent Router;No;cr2.mgmt.vncv1
131;TRANSIT-VANTX2.inet.0;134.87.0.0/16;134.87.2.20/30;271;Adjacent Router;No;cr2.mgmt.vncv1
132;TRANSIT-VANTX2.inet.0;134.87.0.0/16;134.87.2.28/30;271;Adjacent Router;No;cr2.mgmt.vncv1
