Index;Route_Instance;Supernet;Subnet;ASN;Destination_Interface;Router
55;inet.0;134.87.0.0/16;134.87.2.172/30;271;Adjacent Router;No;cr1.mgmt.vncv1
56;inet.0;134.87.0.0/16;134.87.2.188/30;271;ge-11/1/6.0;No;cr1.mgmt.vncv1
57;inet.0;134.87.0.0/16;134.87.2.189/32;271;ge-11/1/6.0;Yes;cr1.mgmt.vncv1
58;inet.0;134.87.0.0/16;134.87.2.196/31;271;Adjacent Router;No;cr1.mgmt.vncv1
59;inet.0;134.87.0.0/16;134.87.2.198/31;271;Adjacent Router;No;cr1.mgmt.vncv1
60;inet.0;134.87.0.0/16;134.87.2.202/31;271;Adjacent Router;No;cr1.mgmt.vncv1
61;inet.0;134.87.0.0/16;134.87.2.228/31;271;Adjacent Router;No;cr1.mgmt.vncv1
62;inet.0;134.87.0.0/16;134.87.2.230/31;271;Adjacent Router;No;cr1.mgmt.vncv1
63;inet.0;134.87.0.0/16;134.87.2.236/30;271;Adjacent Router;No;cr1.mgmt.vncv1
64;inet.0;134.87.0.0/16;134.87.2.240/30;271;Adjacent Router;No;cr1.mgmt.vncv1
65;inet.0;134.87.0.0/16;134.87.2.244/31;271;Adjacent Router;No;cr1.mgmt.vncv1
66;inet.0;134.87.0.0/16;134.87.2.246/31;271;Adjacent Router;No;cr1.mgmt.vncv1
67;inet.0;134.87.0.0/16;134.87.2.248/31;271;Adjacent Router;No;cr1.mgmt.vncv1
68;inet.0;134.87.0.0/16;134.87.2.250/31;271;Adjacent Router;No;cr1.mgmt.vncv1
69;inet.0;134.87.0.0/16;134.87.4.0/24;271;rlt0.40;No;cr1.mgmt.vncv1
70;inet.0;134.87.0.0/16;134.87.32.0/19;16462;Adjacent Router;No;cr1.mgmt.vncv1
71;inet.0;134.87.0.0/16;134.87.32.0/19;16462;Adjacent Router;No;cr1.mgmt.vncv1
72;inet.0;134.87.0.0/16;134.87.112.0/24;271;rlt0.40;No;cr1.mgmt.vncv1
73;inet.0;134.87.0.0/16;134.87.128.0/18;16462;Adjacent Router;No;cr1.mgmt.vncv1
74;inet.0;134.87.0.0/16;134.87.128.0/18;16462;Adjacent Router;No;cr1.mgmt.vncv1
