Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
52;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.166/31;271;271;rlt0.70;No;cr1.mgmt.klwn1
53;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.166/32;271;271;rlt0.70;Yes;cr1.mgmt.klwn1
54;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.176/29;271;271;xe-5/1/1.0;No;cr1.mgmt.klwn1
55;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.182/32;271;271;xe-5/1/1.0;Yes;cr1.mgmt.klwn1
56;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.188/31;271;271;rlt0.30;No;cr1.mgmt.klwn1
57;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.200/30;271;271;rlt0.30;No;cr1.mgmt.klwn1
58;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.202/32;271;271;rlt0.30;Yes;cr1.mgmt.klwn1
59;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.216/30;271;271;rlt0.30;No;cr1.mgmt.klwn1
60;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.220/30;271;271;rlt0.30;No;cr1.mgmt.klwn1
61;TRANSIT-KELTX1.inet.0;207.23.0.0/16;207.23.254.253/32;271;271;rlt0.30;No;cr1.mgmt.klwn1
62;IX-KLWN1.inet.0;207.23.0.0/16;207.23.251.0/29;271;271;ge-4/3/5.512;No;cr1.mgmt.klwn1
63;IX-KLWN1.inet.0;207.23.0.0/16;207.23.251.6/32;271;271;ge-4/3/5.512;Yes;cr1.mgmt.klwn1
64;IX-KLWN1.inet.0;207.23.0.0/16;207.23.251.8/30;271;271;rlt0.50;No;cr1.mgmt.klwn1
65;IX-KLWN1.inet.0;207.23.0.0/16;207.23.251.10/32;271;271;rlt0.50;Yes;cr1.mgmt.klwn1
66;IX-KLWN1.inet.0;207.23.0.0/16;207.23.251.12/31;271;271;rlt0.72;No;cr1.mgmt.klwn1
67;IX-KLWN1.inet.0;207.23.0.0/16;207.23.251.12/32;271;271;rlt0.72;Yes;cr1.mgmt.klwn1
68;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.168/30;271;271;rlt0.35;No;cr1.mgmt.klwn1
69;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.170/32;271;271;rlt0.35;Yes;cr1.mgmt.klwn1
